Estudiante,Carrera,Jornada,Beca,Horas_estudio_sem,Asistencia_pct,Horas_pantalla_dia,Puntaje_final
EST-086,Ingeniería,Diurna,No,15.0,100.0,4.0,73.9
EST-087,Biología,Diurna,No,13.1,76.4,5.5,62.4
EST-088,Ingeniería,Diurna,Sí,18.2,85.8,4.4,73.1
EST-089,Enfermería,Diurna,No,5.7,89.7,5.5,55.3
EST-090,Biología,Diurna,No,14.8,94.5,3.2,69.6
EST-091,Enfermería,Diurna,No,11.8,88.5,3.6,64.2
EST-092,Economía,Vespertina,Sí,8.3,93.3,4.7,65.6
EST-093,Economía,Diurna,No,10.7,90.4,4.8,53.4
EST-094,Enfermería,Diurna,Sí,10.2,76.9,4.8,57.9
EST-095,Ingeniería,Diurna,No,24.2,95.7,6.8,84.8
EST-096,Economía,Vespertina,No,7.8,83.6,6.3,52.5
EST-097,Biología,Vespertina,No,9.9,86.6,3.0,57.6
EST-098,Ingeniería,Diurna,Sí,17.5,73.8,2.6,75.8
EST-099,Economía,Vespertina,No,2.9,79.4,5.4,47.8
EST-100,Ingeniería,Diurna,No,14.4,87.4,4.2,66.0
EST-101,Ingeniería,Diurna,No,14.4,72.9,5.4,54.7
EST-102,Ingeniería,Diurna,No,15.3,86.1,4.1,80.1
EST-103,Enfermería,Diurna,Sí,13.6,82.4,4.0,72.6
EST-104,Biología,Diurna,Sí,14.6,81.1,4.3,65.7
EST-105,Biología,Diurna,Sí,16.3,83.8,3.2,81.4
EST-106,Biología,Vespertina,Sí,10.3,78.3,6.9,62.0
EST-107,Biología,Diurna,No,16.7,100.0,6.4,76.7
EST-108,Economía,Diurna,No,8.9,80.6,2.5,56.7
EST-109,Economía,Diurna,Sí,16.2,87.3,4.6,76.4
EST-110,Biología,Diurna,No,7.6,94.2,8.0,48.3
EST-111,Biología,Vespertina,No,11.8,85.8,1.6,74.0
EST-112,Biología,Diurna,Sí,1.5,57.8,3.1,41.8
EST-113,Ingeniería,Diurna,No,7.5,68.9,4.2,50.3
EST-114,Ingeniería,Vespertina,No,12.3,70.3,3.1,66.2
EST-115,Enfermería,Diurna,No,14.5,79.0,5.9,56.8
EST-116,Biología,Vespertina,No,8.9,73.3,5.2,54.7
EST-117,Enfermería,Diurna,Sí,14.4,86.3,4.8,73.8
EST-118,Enfermería,Diurna,No,15.6,61.1,2.3,58.7
EST-119,Ingeniería,Vespertina,Sí,9.3,97.3,6.7,63.2
EST-120,Economía,Vespertina,Sí,14.4,82.7,4.6,67.0
EST-121,Ingeniería,Vespertina,No,10.1,86.5,4.0,60.5
EST-122,Enfermería,Diurna,No,13.5,85.1,2.3,64.9
EST-123,Enfermería,Vespertina,No,16.0,73.0,1.5,64.7
EST-124,Enfermería,Vespertina,No,9.9,75.6,4.3,55.9
EST-125,Ingeniería,Diurna,No,23.0,69.4,3.3,80.0
EST-126,Economía,Diurna,No,12.5,92.5,6.4,73.5
EST-127,Economía,Diurna,No,14.5,74.1,5.7,63.1
EST-128,Economía,Diurna,Sí,12.2,80.0,5.7,71.9
EST-129,Enfermería,Diurna,No,13.1,93.5,3.7,66.6
EST-130,Economía,Diurna,Sí,19.3,85.9,7.6,69.3
EST-131,Ingeniería,Diurna,No,15.3,95.5,4.8,75.0
EST-132,Enfermería,Diurna,Sí,7.3,82.7,3.4,63.8
EST-133,Biología,Vespertina,No,12.8,82.7,5.2,54.6
EST-134,Economía,Vespertina,No,5.7,78.9,2.4,58.1
EST-135,Economía,Diurna,No,12.3,97.5,4.8,61.2
EST-136,Enfermería,Diurna,Sí,19.2,86.5,5.5,83.9
EST-137,Economía,Vespertina,No,12.9,87.3,5.2,66.5
EST-138,Enfermería,Diurna,No,13.7,96.0,4.1,77.7
EST-139,Ingeniería,Vespertina,No,10.7,91.4,5.1,59.0
EST-140,Biología,Diurna,No,16.4,92.0,4.9,69.5
EST-141,Economía,Diurna,Sí,9.1,93.8,4.2,68.0
EST-142,Enfermería,Diurna,No,10.8,79.4,2.8,58.4
EST-143,Economía,Diurna,No,20.6,86.9,2.8,85.4
EST-144,Enfermería,Vespertina,Sí,7.9,90.9,3.0,64.6
EST-145,Enfermería,Vespertina,No,4.9,78.5,1.4,60.0
EST-146,Biología,Vespertina,No,5.2,64.9,3.4,46.7
EST-147,Economía,Diurna,Sí,18.4,66.8,3.2,78.9
EST-148,Enfermería,Vespertina,Sí,9.3,82.2,5.1,59.2
EST-149,Ingeniería,Diurna,No,18.6,68.9,5.5,59.1
EST-150,Economía,Diurna,No,2.1,90.5,3.7,56.1
EST-151,Ingeniería,Diurna,No,13.4,97.8,4.0,75.9
EST-152,Enfermería,Vespertina,Sí,8.7,87.4,1.8,75.1
EST-153,Economía,Vespertina,No,10.4,76.0,4.1,50.8
EST-154,Ingeniería,Diurna,No,10.1,88.3,6.2,59.3
EST-155,Ingeniería,Diurna,Sí,10.0,85.5,5.7,71.1
EST-156,Economía,Vespertina,No,6.9,90.8,3.8,63.3
EST-157,Economía,Diurna,No,18.1,78.2,6.2,62.5
EST-158,Enfermería,Diurna,Sí,5.3,92.0,6.8,56.4
EST-159,Enfermería,Diurna,No,13.0,78.8,5.3,54.6
EST-160,Economía,Diurna,No,18.9,89.7,6.2,80.1
